ppm,Intensity,Sum,Residue,Peak 1,Peak 2,Peak 3,Peak 4
-1142.02,123064,0,123064,0,0,0,0
-1143.25,97989.8,0,97989.8,0,0,0,0
-1144.47,89756,0,89756,0,0,0,0
-1145.7,91696.6,0,91696.6,0,0,0,0
-1146.93,93637.1,0,93637.1,0,0,0,0
-1148.15,92595.6,0,92595.6,0,0,0,0
-1149.38,91554,0,91554,0,0,0,0
-1150.61,74724.8,0,74724.8,0,0,0,0
-1151.84,41055.1,0,41055.1,0,0,0,0
-1153.06,5088.63,0,5088.63,0,0,0,0
-1154.29,-30877.9,0,-30877.9,0,0,0,0
-1155.52,-52109.1,0,-52109.1,0,0,0,0
-1156.74,-56500.1,0,-56500.1,0,0,0,0
-1157.97,-43787.6,0,-43787.6,0,0,0,0
-1159.2,-31075.3,0,-31075.3,0,0,0,0
-1160.42,-13100.1,0,-13100.1,0,0,0,0
-1161.65,4874.88,0,4874.88,0,0,0,0
-1162.88,8290,0,8290,0,0,0,0
-1164.1,11705.3,0,11705.3,0,0,0,0
